subject,confound,spearman_rho,p_value
A10,trial,0.22045623310010323,0.0005819697812877422
A10,run_index,-0.6345050646178033,1.9229300819169567e-28
A10,blink_amplitude,0.8295742981648985,3.680068512115334e-62
A10,emg_rms_20_45hz,0.6575678397194394,4.210831009522925e-31
A10,artifact_robust_z,0.1251072067223389,0.052911157427942036
A11,trial,0.14306679020959576,0.026676255419749283
A11,run_index,-0.6201725326331522,6.705052191128922e-27
A11,blink_amplitude,0.7710055730134202,1.5214160049064808e-48
A11,emg_rms_20_45hz,0.692891369641834,1.1619954275771087e-35
A11,artifact_robust_z,-0.0038846160523620197,0.9522621632593274
A13,trial,0.006575028741606331,0.9192891325312058
A13,run_index,-0.9037946766242604,1.0769784482850194e-89
A13,blink_amplitude,0.7677598569419607,6.555789209167598e-48
A13,emg_rms_20_45hz,0.5462968107085192,4.501008366999415e-20
A13,artifact_robust_z,-0.037614368305005294,0.5619940223538825
A17,trial,-0.0005470507273127296,0.9932734118579776
A17,run_index,0.023382804024099313,0.7185458590926935
A17,blink_amplitude,0.22261931630757473,0.0005118044134225863
A17,emg_rms_20_45hz,0.1547848052917585,0.01640054610980971
A17,artifact_robust_z,-0.006563482004895917,0.919430392792452
A21,trial,-0.04249281649488212,0.5123679565228338
A21,run_index,-0.7049351972205121,2.2732218153514347e-37
A21,blink_amplitude,0.9040243754231843,8.21849374937258e-90
A21,emg_rms_20_45hz,0.6309328286949425,4.74192737288619e-28
A21,artifact_robust_z,0.4975155818677406,2.0598244849024718e-16
A24,trial,0.14287401995330462,0.026883483185425112
A24,run_index,-0.6104883894002796,6.674305422057226e-26
A24,blink_amplitude,0.859811802288234,2.0120087927597726e-71
A24,emg_rms_20_45hz,0.7119368391812356,2.1042159108518014e-38
A24,artifact_robust_z,0.16092727304293472,0.012547856165099775
A25,trial,0.016567822027185524,0.7984565706558501
A25,run_index,-0.641231142281362,3.402362473821578e-29
A25,blink_amplitude,0.8105895935693327,3.126754377036904e-57
A25,emg_rms_20_45hz,0.7013932533550928,7.379023360673673e-37
A25,artifact_robust_z,0.08249361968089722,0.20284594717752089
A28,trial,0.1586499209276184,0.013871810560710308
A28,run_index,-0.7698717794802096,2.5411631496235182e-48
A28,blink_amplitude,0.7710359554853382,1.500584059772854e-48
A28,emg_rms_20_45hz,0.6098152745707389,7.807333971872477e-26
A28,artifact_robust_z,0.19367263320543757,0.0025843958185295455
A30,trial,-0.28121533388030373,9.715240959745896e-06
A30,run_index,-0.695884925181064,4.450783969345337e-36
A30,blink_amplitude,0.6968966475112415,3.209377388622605e-36
A30,emg_rms_20_45hz,0.6188171669647041,9.293281364969923e-27
A30,artifact_robust_z,0.08073664473341549,0.21266449781237692
A32,trial,0.0477132434355236,0.461894762385178
A32,run_index,-0.6838061574396994,1.992692763227153e-34
A32,blink_amplitude,0.9180046528585564,1.4126625429039135e-97
A32,emg_rms_20_45hz,0.6245420927446657,2.3153830722460913e-27
A32,artifact_robust_z,0.3242252469660931,2.8054575844314993e-07
A36,trial,0.17997447927896126,0.005166472359875235
A36,run_index,-0.6503518444534129,3.029272890336267e-30
A36,blink_amplitude,0.8782339971180053,3.3332211852400786e-78
A36,emg_rms_20_45hz,0.7296906196288129,3.6157457217689407e-41
A36,artifact_robust_z,0.29246775117623564,4.057859821013401e-06
A39,trial,0.029702249489617822,0.6470645538570934
A39,run_index,-0.6783126070966882,1.0572753810472473e-33
A39,blink_amplitude,0.8840847931387695,1.3672864389972149e-80
