replicate,state_permutation_group_mean_gap,state_permutation_effective_subjects,random_variable_group_mean_gap,random_variable_effective_subjects,validity_label,config_hash
0,0.01273871798257091,57,-0.013187598005642924,57,full_predeclared_inference,e90eda294b47248d
1,-0.014662666510768353,57,-0.001222314885986297,57,full_predeclared_inference,e90eda294b47248d
2,-0.006421674152925882,57,-0.001969129288181009,57,full_predeclared_inference,e90eda294b47248d
3,-0.001765166305859396,57,0.005481244894657022,57,full_predeclared_inference,e90eda294b47248d
4,-0.006478579237607045,57,-0.002838549550822424,57,full_predeclared_inference,e90eda294b47248d
5,0.00841574993775607,57,-0.014156314200847113,57,full_predeclared_inference,e90eda294b47248d
6,-0.006949366483833679,57,0.0038732934268212718,57,full_predeclared_inference,e90eda294b47248d
7,0.0016333246640547934,57,-0.005259748629618137,57,full_predeclared_inference,e90eda294b47248d
8,0.004764144622933847,57,0.006910067341271715,57,full_predeclared_inference,e90eda294b47248d
9,0.005707641831063704,57,-0.005152206094122412,57,full_predeclared_inference,e90eda294b47248d
10,0.00037438609587985515,57,0.005206618312275449,57,full_predeclared_inference,e90eda294b47248d
11,-0.0051502852099467806,57,0.003753982239946691,57,full_predeclared_inference,e90eda294b47248d
12,-0.0008084501885357694,57,-0.009392094888533655,57,full_predeclared_inference,e90eda294b47248d
13,-0.0024808307121109954,57,-0.013519552867179062,57,full_predeclared_inference,e90eda294b47248d
14,0.004606989890095482,57,-0.008756600562719853,57,full_predeclared_inference,e90eda294b47248d
15,-0.005469582032096939,57,-0.005043902837969535,57,full_predeclared_inference,e90eda294b47248d
16,-0.0038937760641531145,57,-0.016061721805880842,57,full_predeclared_inference,e90eda294b47248d
17,-0.003977927644232993,57,-0.0027718634796777986,57,full_predeclared_inference,e90eda294b47248d
18,-0.009303538343953442,57,0.015750953958240003,57,full_predeclared_inference,e90eda294b47248d
19,-0.0021381203970930714,57,0.010836709829286412,57,full_predeclared_inference,e90eda294b47248d
20,-0.00327108342512356,57,-0.0007824258439774428,57,full_predeclared_inference,e90eda294b47248d
21,-0.013031845956783243,57,-0.013182251796732032,57,full_predeclared_inference,e90eda294b47248d
22,0.007774095373616385,57,-0.0017158643796021604,57,full_predeclared_inference,e90eda294b47248d
23,-0.0011617770846904124,57,-0.010132543816263911,57,full_predeclared_inference,e90eda294b47248d
24,0.004502923188522343,57,-0.002403689145989611,57,full_predeclared_inference,e90eda294b47248d
25,-0.009480587273982974,57,-0.009673073434111962,57,full_predeclared_inference,e90eda294b47248d
26,-0.008343181102418114,57,0.0015717454764755342,57,full_predeclared_inference,e90eda294b47248d
27,-0.012615584706034313,57,0.011136117499625169,57,full_predeclared_inference,e90eda294b47248d
28,0.004033792754007725,57,0.01033096171771529,57,full_predeclared_inference,e90eda294b47248d
29,-0.019435099267028296,57,0.01665825142035526,57,full_predeclared_inference,e90eda294b47248d
30,-0.0011555797139509486,57,-0.013139580094796023,57,full_predeclared_inference,e90eda294b47248d
31,0.0015276486720022548,57,0.0007933787608940802,57,full_predeclared_inference,e90eda294b47248d
32,-0.004497192140583892,57,-0.011111699858144648,57,full_predeclared_inference,e90eda294b47248d
33,-0.006376446325156545,57,-0.0027058102765477616,57,full_predeclared_inference,e90eda294b47248d
34,-0.0035774060157064665,57,-0.002977085911806523,57,full_predeclared_inference,e90eda294b47248d
35,-0.007910898087714242,57,-0.002082115591289674,57,full_predeclared_inference,e90eda294b47248d
36,-0.005522837812405044,57,-0.004707755338497129,57,full_predeclared_inference,e90eda294b47248d
37,0.002441317308612857,57,0.00626367936172646,57,full_predeclared_inference,e90eda294b47248d
38,-0.004682763431412017,57,0.009978858439794848,57,full_predeclared_inference,e90eda294b47248d
39,0.017497502499803093,57,0.01319411054756086,57,full_predeclared_inference,e90eda294b47248d
40,0.004551908923801653,57,-0.009067375204332402,57,full_predeclared_inference,e90eda294b47248d
41,0.000650271819092426,57,0.002305198462141332,57,full_predeclared_inference,e90eda294b47248d
42,-0.021229993465505304,57,-0.007004003139924158,57,full_predeclared_inference,e90eda294b47248d
43,-0.005444722869010491,57,-0.00020826679486371855,57,full_predeclared_inference,e90eda294b47248d
44,-0.0038373162554632438,57,0.008443266727250156,57,full_predeclared_inference,e90eda294b47248d
45,0.014157965819482142,57,-0.0034294654080648406,57,full_predeclared_inference,e90eda294b47248d
46,0.019251913444619614,57,-0.000522866253788702,57,full_predeclared_inference,e90eda294b47248d
47,-0.015187462020644278,57,-0.018803992358258716,57,full_predeclared_inference,e90eda294b47248d
48,0.006210367309335141,57,0.01593731656932855,57,full_predeclared_inference,e90eda294b47248d
49,-0.012120343042696359,57,0.005074701108904766,57,full_predeclared_inference,e90eda294b47248d
50,0.017847169814482252,57,-0.00233992419379178,57,full_predeclared_inference,e90eda294b47248d
51,-0.001111925784241487,57,0.006363639656423835,57,full_predeclared_inference,e90eda294b47248d
52,-0.003951627314190204,57,-0.004589176737179573,57,full_predeclared_inference,e90eda294b47248d
53,0.001162016572683027,57,-0.006738783192864679,57,full_predeclared_inference,e90eda294b47248d
54,-0.009291180543721102,57,0.004458276620673981,57,full_predeclared_inference,e90eda294b47248d
55,-0.0058162942143435495,57,-0.0038252237504206796,57,full_predeclared_inference,e90eda294b47248d
56,-0.0021567194722229535,57,-0.00387402356291493,57,full_predeclared_inference,e90eda294b47248d
57,0.004571208139381414,57,0.0012843275513613722,57,full_predeclared_inference,e90eda294b47248d
58,0.011996496060721375,57,0.0030919355861231197,57,full_predeclared_inference,e90eda294b47248d
59,-0.006730987948291461,57,0.00030219604046721895,57,full_predeclared_inference,e90eda294b47248d
60,0.005577102173940746,57,-0.017133606211517823,57,full_predeclared_inference,e90eda294b47248d
61,-0.01213819111636359,57,-0.0008358946678378847,57,full_predeclared_inference,e90eda294b47248d
62,0.014137341667780648,57,0.0028635348070373255,57,full_predeclared_inference,e90eda294b47248d
63,0.00043392116239753046,57,0.004717483873053567,57,full_predeclared_inference,e90eda294b47248d
64,-0.001500622197992191,57,0.01108502211976987,57,full_predeclared_inference,e90eda294b47248d
65,-0.008220021526951128,57,-0.003067236467410108,57,full_predeclared_inference,e90eda294b47248d
66,-0.0012773684683163116,57,0.0018478263985838596,57,full_predeclared_inference,e90eda294b47248d
67,-0.012598789135616758,57,-0.0147319925355079,57,full_predeclared_inference,e90eda294b47248d
68,-0.001615784135841522,57,0.012573250728596722,57,full_predeclared_inference,e90eda294b47248d
69,-0.004551186547576625,57,-0.0010980223766506685,57,full_predeclared_inference,e90eda294b47248d
70,0.01670004032731549,57,-0.0007432055689344294,57,full_predeclared_inference,e90eda294b47248d
71,-0.013678495923575883,57,-0.012844734799624329,57,full_predeclared_inference,e90eda294b47248d
72,-0.018769865517440577,57,0.013667966636827778,57,full_predeclared_inference,e90eda294b47248d
73,0.014054406944905208,57,0.005912484384686765,57,full_predeclared_inference,e90eda294b47248d
74,0.0019404276759515914,57,0.007085110065739813,57,full_predeclared_inference,e90eda294b47248d
